epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2718.66,1.52713,1.04642,1.2673,0.55511,0.41853,0.39213,0.17419,1.93461,1.78428,1.51095,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413
31,2804.63,1.49331,1.0247,1.25375,0.56032,0.40636,0.40197,0.18298,1.93539,1.78644,1.51545,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
32,2888.79,1.48762,1.02768,1.24907,0.55749,0.41345,0.40512,0.18249,1.95618,1.7567,1.51562,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614
33,2973.17,1.48325,1.00435,1.24207,0.53387,0.41695,0.40268,0.18161,1.96292,1.77724,1.53537,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214
34,3057.69,1.48726,1.01543,1.2581,0.53807,0.43319,0.40298,0.17814,1.95027,1.82817,1.53573,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815
35,3142,1.46801,0.98333,1.23782,0.55024,0.40911,0.38886,0.17497,1.94325,1.81922,1.52888,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415
36,3226.68,1.46322,0.97715,1.23216,0.57064,0.42498,0.39735,0.17811,1.93958,1.77225,1.51777,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
37,3310.76,1.45121,0.96293,1.23391,0.53935,0.4397,0.40159,0.17942,1.96674,1.78039,1.53221,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616
38,3472.95,1.44179,0.94874,1.22077,0.58328,0.41887,0.4113,0.18562,1.94546,1.77062,1.51791,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216
39,3558.73,1.43644,0.95223,1.22821,0.50911,0.42617,0.4041,0.18846,1.9593,1.78452,1.53173,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817
40,3743.91,1.44206,0.95074,1.21772,0.51572,0.43412,0.40348,0.18273,1.95836,1.77665,1.52454,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417
41,3829.69,1.41707,0.91933,1.20233,0.56404,0.41325,0.40093,0.18079,1.96593,1.76487,1.52934,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
42,3924.2,1.42093,0.922,1.21608,0.58186,0.42101,0.40609,0.18254,1.95381,1.77841,1.52973,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618
43,4010.07,1.41294,0.91864,1.20579,0.55716,0.40805,0.40395,0.18402,1.95234,1.77845,1.52613,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218
44,4094.93,1.41484,0.91186,1.20474,0.60033,0.41967,0.41992,0.19208,1.96306,1.74224,1.5345,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819
45,4181.32,1.40076,0.90477,1.19739,0.56048,0.43607,0.41825,0.19188,1.98165,1.76995,1.55158,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419
46,4284.2,1.39008,0.89055,1.19301,0.56814,0.42396,0.40885,0.18596,1.96071,1.759,1.52571,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
47,4370.33,1.40718,0.89622,1.19442,0.56487,0.43608,0.42044,0.18938,1.96041,1.75596,1.52734,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862
48,4455.14,1.39798,0.87387,1.18691,0.56701,0.4393,0.42941,0.19651,1.95327,1.74819,1.52333,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221
49,4539.15,1.37901,0.86934,1.18758,0.53687,0.43563,0.41201,0.18969,1.96716,1.77177,1.53135,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821
50,4623.37,1.37503,0.86205,1.17675,0.57459,0.42822,0.41043,0.18773,1.96928,1.78627,1.539,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422
51,4707.77,1.3692,0.86127,1.18006,0.55764,0.44157,0.41251,0.18661,1.96515,1.77643,1.53595,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
52,4791.77,1.35763,0.86279,1.1772,0.55135,0.45052,0.41801,0.18962,1.97255,1.75943,1.53797,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622
53,4875.63,1.3409,0.85239,1.17846,0.56184,0.44081,0.42304,0.19486,1.96187,1.75524,1.53137,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223
54,4962.71,1.36239,0.83875,1.17045,0.57816,0.44177,0.42713,0.19066,1.96478,1.74501,1.53273,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823
55,5046.35,1.33488,0.84012,1.17021,0.55523,0.44244,0.42467,0.19367,1.96919,1.78359,1.53496,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424
56,5130.6,1.34634,0.83384,1.17241,0.57175,0.42552,0.4272,0.19371,1.98074,1.79514,1.54575,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
57,5215.24,1.34039,0.82208,1.15781,0.57266,0.43271,0.4106,0.18769,1.97885,1.8122,1.55166,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625
58,5299.47,1.33912,0.82492,1.15706,0.58893,0.41734,0.41982,0.18954,1.97633,1.77407,1.54585,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225
59,5383.65,1.32226,0.82265,1.16225,0.57464,0.44901,0.43208,0.19506,1.97094,1.75437,1.54794,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826
60,5467.89,1.32122,0.81928,1.15771,0.56874,0.42995,0.42087,0.19469,1.98244,1.79721,1.5657,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426
61,5551.93,1.32289,0.8027,1.14774,0.60299,0.4372,0.42817,0.19337,1.9933,1.76533,1.5702,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
