epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2746.21,1.85366,1.42699,0.00954,0.51919,0.3977,0.37188,0.16512,2.07152,2.18706,0.01216,0.000930618,0.000930618,0.000930618
43,2810.34,1.81149,1.43075,0.00929,0.46725,0.35366,0.32491,0.14186,2.0726,2.25593,0.01201,0.000926218,0.000926218,0.000926218
44,2874.25,1.80751,1.39925,0.00927,0.48612,0.37532,0.34581,0.15142,2.09552,2.24445,0.01221,0.000921819,0.000921819,0.000921819
45,2940.23,1.84284,1.42473,0.0091,0.48413,0.37868,0.36402,0.16098,2.1132,2.21573,0.01256,0.000917419,0.000917419,0.000917419
46,3005.97,1.82021,1.34826,0.00904,0.5151,0.36709,0.3585,0.16292,2.08153,2.25725,0.01204,0.00091302,0.00091302,0.00091302
47,3069.53,1.82599,1.38113,0.00935,0.50816,0.40837,0.36615,0.1625,2.13453,2.1562,0.01233,0.00090862,0.00090862,0.00090862
48,3133.78,1.80567,1.38294,0.00909,0.51815,0.37722,0.36086,0.16016,2.10037,2.2519,0.01235,0.000904221,0.000904221,0.000904221
49,3199.69,1.80743,1.36792,0.00892,0.45808,0.40434,0.35237,0.15444,2.06669,2.17417,0.01188,0.000899821,0.000899821,0.000899821
50,3264.52,1.80669,1.33185,0.00899,0.49901,0.38142,0.34766,0.15414,2.03313,2.21033,0.01173,0.000895422,0.000895422,0.000895422
51,3328.12,1.7873,1.34627,0.00981,0.50616,0.40504,0.37901,0.16505,2.09845,2.09399,0.01226,0.000891022,0.000891022,0.000891022
52,3393.74,1.77369,1.31289,0.00905,0.47837,0.38478,0.34935,0.15278,2.07631,2.26081,0.01211,0.000886622,0.000886622,0.000886622
53,3456.44,1.76906,1.33413,0.00933,0.51611,0.37514,0.36256,0.16469,2.05372,2.15606,0.01188,0.000882223,0.000882223,0.000882223
54,3521.1,1.8017,1.28271,0.00884,0.51645,0.38885,0.37444,0.16736,2.10369,2.23692,0.01244,0.000877823,0.000877823,0.000877823
55,3584.85,1.79492,1.32081,0.00935,0.53646,0.37739,0.37193,0.16724,2.08655,2.15259,0.01216,0.000873424,0.000873424,0.000873424
56,3649.17,1.77391,1.3211,0.00904,0.52338,0.37172,0.35472,0.15722,2.11265,2.23753,0.01261,0.000869024,0.000869024,0.000869024
57,3713.67,1.74729,1.28667,0.00911,0.48756,0.377,0.35969,0.16254,2.09845,2.17186,0.01221,0.000864625,0.000864625,0.000864625
58,3780.68,1.76846,1.23547,0.00865,0.50315,0.38447,0.36397,0.16519,2.10297,2.18514,0.01231,0.000860225,0.000860225,0.000860225
59,3845.36,1.74639,1.24824,0.0088,0.52478,0.38274,0.38289,0.16976,2.08259,2.15509,0.0123,0.000855826,0.000855826,0.000855826
60,3909.24,1.77061,1.26194,0.0088,0.55221,0.37954,0.38714,0.16725,2.08751,2.19271,0.01212,0.000851426,0.000851426,0.000851426
61,3973.54,1.75643,1.23274,0.00862,0.51816,0.38566,0.36392,0.16125,2.10453,2.19381,0.01213,0.000847026,0.000847026,0.000847026
62,4038.04,1.75471,1.24366,0.00896,0.55646,0.3923,0.3771,0.16784,2.10788,2.16912,0.01242,0.000842627,0.000842627,0.000842627
63,4106.97,1.76446,1.23383,0.00884,0.553,0.39011,0.3828,0.1707,2.10246,2.15698,0.01235,0.000838227,0.000838227,0.000838227
64,4170.46,1.77222,1.25194,0.00887,0.51972,0.39674,0.37053,0.16811,2.11241,2.2114,0.01232,0.000833828,0.000833828,0.000833828
65,4234,1.75122,1.24134,0.00884,0.52644,0.40237,0.35935,0.16053,2.10037,2.21757,0.01232,0.000829428,0.000829428,0.000829428
66,4296.56,1.71229,1.21864,0.009,0.50988,0.38739,0.35204,0.15704,2.10471,2.19999,0.01242,0.000825029,0.000825029,0.000825029
67,4360.48,1.77042,1.22801,0.00867,0.50335,0.38729,0.34609,0.15426,2.10339,2.23307,0.01239,0.000820629,0.000820629,0.000820629
68,4426.12,1.71385,1.17864,0.00855,0.51006,0.3926,0.36372,0.16067,2.10771,2.21,0.01233,0.000816229,0.000816229,0.000816229
69,4491.09,1.70598,1.16428,0.00869,0.53141,0.40089,0.38835,0.1765,2.0812,2.22263,0.01218,0.00081183,0.00081183,0.00081183
70,4555.06,1.72199,1.20838,0.00876,0.51968,0.40139,0.39043,0.17668,2.10427,2.12069,0.01211,0.00080743,0.00080743,0.00080743
71,4619.45,1.72743,1.16669,0.0084,0.5597,0.4072,0.40576,0.19099,2.08835,2.14868,0.01218,0.000803031,0.000803031,0.000803031
72,4682.99,1.71319,1.16968,0.00848,0.56849,0.38622,0.39943,0.1796,2.12716,2.18711,0.01227,0.000798631,0.000798631,0.000798631
73,4746.95,1.71333,1.14165,0.00845,0.58867,0.40138,0.41741,0.18703,2.12462,2.24387,0.01233,0.000794232,0.000794232,0.000794232
74,4809.58,1.6833,1.15302,0.00872,0.55914,0.39854,0.39923,0.18247,2.0988,2.16649,0.01222,0.000789832,0.000789832,0.000789832
75,4875.81,1.74354,1.16785,0.0085,0.56353,0.39803,0.4064,0.18312,2.09544,2.19404,0.01222,0.000785433,0.000785433,0.000785433
76,4939.74,1.70323,1.13496,0.00836,0.52042,0.40981,0.39,0.17696,2.11965,2.16304,0.01233,0.000781033,0.000781033,0.000781033
77,5009.42,1.68968,1.14004,0.00845,0.53648,0.40104,0.40477,0.18912,2.10863,2.2193,0.01239,0.000776633,0.000776633,0.000776633
78,5074.15,1.73429,1.12925,0.00828,0.53675,0.38049,0.38871,0.17658,2.13118,2.26331,0.01246,0.000772234,0.000772234,0.000772234
79,5137.65,1.67918,1.11805,0.00863,0.53596,0.40109,0.40356,0.18079,2.12608,2.20152,0.01247,0.000767834,0.000767834,0.000767834
80,5202.7,1.71859,1.12157,0.00824,0.53042,0.411,0.38489,0.17574,2.13581,2.19779,0.01275,0.000763435,0.000763435,0.000763435
81,5267.42,1.70558,1.09963,0.0083,0.54352,0.4062,0.39577,0.17975,2.10454,2.16331,0.01218,0.000759035,0.000759035,0.000759035
82,5330.9,1.66582,1.09736,0.00851,0.58504,0.4199,0.4233,0.19617,2.12446,2.1255,0.01246,0.000754636,0.000754636,0.000754636
83,5395.19,1.68666,1.0837,0.00815,0.52489,0.42117,0.39292,0.17665,2.12014,2.18325,0.0123,0.000750236,0.000750236,0.000750236
84,5459.56,1.69151,1.07358,0.00802,0.5487,0.41249,0.39532,0.17816,2.14626,2.18931,0.01248,0.000745837,0.000745837,0.000745837
85,5528.8,1.66473,1.07817,0.0082,0.56091,0.39243,0.4017,0.18449,2.11462,2.2748,0.01226,0.000741437,0.000741437,0.000741437
86,5593.06,1.68802,1.09961,0.00835,0.55122,0.39336,0.39242,0.17831,2.13668,2.21123,0.01241,0.000737037,0.000737037,0.000737037
87,5656.66,1.67224,1.08216,0.00838,0.59072,0.37557,0.38712,0.17594,2.10949,2.28402,0.01225,0.000732638,0.000732638,0.000732638
88,5720.35,1.67857,1.09001,0.00819,0.53686,0.41595,0.39425,0.17682,2.1032,2.19973,0.01225,0.000728238,0.000728238,0.000728238
89,5785.4,1.66288,1.08169,0.00825,0.57723,0.40634,0.40379,0.1812,2.11628,2.12819,0.01218,0.000723839,0.000723839,0.000723839
90,5851.48,1.68138,1.08183,0.00804,0.5236,0.42186,0.40008,0.18216,2.09383,2.28547,0.01224,0.000719439,0.000719439,0.000719439
91,5916.04,1.69058,1.06917,0.00807,0.58055,0.38438,0.39657,0.18239,2.13183,2.26536,0.01243,0.00071504,0.00071504,0.00071504
92,5980.6,1.68464,1.05968,0.00791,0.5202,0.41101,0.38888,0.18009,2.11644,2.22449,0.01228,0.00071064,0.00071064,0.00071064
93,6044.15,1.63585,1.05061,0.00803,0.54743,0.40841,0.38901,0.1783,2.14256,2.23066,0.01242,0.00070624,0.00070624,0.00070624
94,6107.59,1.63719,1.05931,0.00805,0.56352,0.423,0.4155,0.19211,2.09154,2.21855,0.01218,0.000701841,0.000701841,0.000701841
95,6172.87,1.65976,1.04213,0.00808,0.56051,0.40522,0.41412,0.19306,2.14218,2.18175,0.01256,0.000697441,0.000697441,0.000697441
96,6237.72,1.6879,1.05303,0.00804,0.5313,0.40436,0.40155,0.18043,2.11365,2.24497,0.01225,0.000693042,0.000693042,0.000693042
97,6306.07,1.67547,1.04591,0.0079,0.61379,0.39804,0.42301,0.19368,2.10404,2.20948,0.01226,0.000688642,0.000688642,0.000688642
98,6369.78,1.65165,1.02693,0.00802,0.55117,0.41824,0.42177,0.19411,2.10223,2.22928,0.01232,0.000684243,0.000684243,0.000684243
99,6433.61,1.62278,1.00013,0.00827,0.57806,0.4162,0.42031,0.19404,2.10451,2.21805,0.01232,0.000679843,0.000679843,0.000679843
