epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9193.08,1.78682,1.21615,0.00927,0.60415,0.41475,0.44032,0.19487,2.06164,2.03938,0.01212,0.000930618,0.000930618,0.000930618
43,9561.46,1.72719,1.17633,0.00887,0.56247,0.43065,0.42629,0.1875,2.09553,2.04494,0.01251,0.000926218,0.000926218,0.000926218
44,9663.17,1.74434,1.17264,0.009,0.52529,0.44177,0.42836,0.1905,2.07243,2.16616,0.01235,0.000921819,0.000921819,0.000921819
45,10321.6,1.75765,1.18175,0.00876,0.60374,0.43058,0.43316,0.19489,2.08578,1.99532,0.01235,0.000917419,0.000917419,0.000917419
46,10466.1,1.74383,1.11721,0.00872,0.54751,0.43018,0.40494,0.17647,2.12482,2.12244,0.01264,0.00091302,0.00091302,0.00091302
47,10563.5,1.73855,1.12725,0.00891,0.54072,0.43041,0.42743,0.18729,2.07401,2.10754,0.01227,0.00090862,0.00090862,0.00090862
48,10666.5,1.73837,1.14068,0.00879,0.56285,0.41964,0.42187,0.1913,2.11042,2.10184,0.01252,0.000904221,0.000904221,0.000904221
49,10771.9,1.71385,1.09383,0.00849,0.54515,0.43534,0.42604,0.19296,2.0704,2.10344,0.01214,0.000899821,0.000899821,0.000899821
50,11237.6,1.71482,1.07877,0.00855,0.53819,0.44113,0.42486,0.18528,2.10927,2.06209,0.01239,0.000895422,0.000895422,0.000895422
51,11335.5,1.70688,1.11311,0.00936,0.58973,0.41682,0.43584,0.1911,2.07908,2.0108,0.01231,0.000891022,0.000891022,0.000891022
52,11758.5,1.68501,1.06616,0.00855,0.55052,0.40899,0.39799,0.17514,2.09944,2.13654,0.01232,0.000886622,0.000886622,0.000886622
