epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17184.1,1.33937,0.79092,1.18685,0.61213,0.43639,0.44956,0.2089,1.93555,1.77274,1.57707,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413
31,17731.6,1.29923,0.76751,1.17621,0.59395,0.45211,0.45965,0.21432,1.96002,1.76263,1.60066,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
32,18216.2,1.29892,0.77272,1.1727,0.57035,0.45244,0.44737,0.2078,1.94618,1.79187,1.58729,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614
33,19277.3,1.29368,0.74798,1.16521,0.5573,0.46465,0.44105,0.20414,1.96118,1.82619,1.60642,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214
34,19865.7,1.2885,0.75431,1.17696,0.58042,0.46557,0.45088,0.20935,1.95284,1.78421,1.59676,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815
35,20377.4,1.27777,0.73159,1.16061,0.57957,0.45626,0.45021,0.20738,1.94608,1.77279,1.59202,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415
36,20812.9,1.26388,0.72608,1.15034,0.59634,0.45076,0.43518,0.20273,1.91164,1.76906,1.56903,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
37,202.29,1.26185,0.72057,1.15462,0.5924,0.45166,0.45288,0.21133,1.94549,1.78847,1.59819,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616
38,698.403,1.25908,0.71349,1.14907,0.59063,0.47027,0.44263,0.2042,1.93806,1.82508,1.58519,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216
39,1044.43,1.24324,0.71624,1.14345,0.61672,0.46437,0.45854,0.21573,1.93082,1.76205,1.57945,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817
40,1565.78,1.2179,0.68779,1.12519,0.62251,0.46313,0.46163,0.21508,1.94754,1.76791,1.58386,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417
41,1977.76,1.1943,0.66469,1.11328,0.61676,0.46488,0.46636,0.2205,1.92392,1.81207,1.56598,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
42,2429.91,1.20974,0.67717,1.12422,0.61269,0.46244,0.45469,0.20812,1.95214,1.76207,1.59764,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618
43,2956.78,1.18591,0.66041,1.1212,0.63,0.46735,0.45387,0.21275,1.93104,1.79319,1.59825,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218
44,3484.47,1.18953,0.6416,1.09747,0.60119,0.47089,0.45312,0.2142,1.9314,1.81903,1.59101,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819
45,4135.09,1.19369,0.64803,1.10295,0.5951,0.4551,0.451,0.21432,1.94473,1.84074,1.60144,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419
46,4499.63,1.15517,0.63373,1.10108,0.59451,0.47034,0.45643,0.21716,1.94786,1.85406,1.61106,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
47,5102.6,1.14807,0.61976,1.08822,0.62697,0.45212,0.44863,0.20881,1.94238,1.82937,1.59788,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862
48,6039.23,1.14389,0.62221,1.09815,0.59656,0.46742,0.44553,0.20911,1.96614,1.85154,1.62662,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221
49,6692.75,1.1312,0.62067,1.09677,0.60505,0.47588,0.44476,0.21062,1.94477,1.81617,1.62272,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821
50,7563.1,1.14002,0.61992,1.09285,0.60985,0.45943,0.45576,0.21509,1.96356,1.8633,1.63975,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422
51,8205.85,1.12635,0.60432,1.0858,0.62162,0.4673,0.45689,0.21829,1.93506,1.8222,1.61761,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
52,8676.72,1.11532,0.60013,1.0782,0.62437,0.46102,0.45346,0.21381,1.96436,1.85718,1.63146,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622
53,9225.79,1.12748,0.60368,1.07518,0.62887,0.46556,0.45008,0.20845,1.96413,1.81038,1.62358,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223
54,9982.49,1.10789,0.59125,1.07055,0.60282,0.47201,0.4553,0.2151,1.95184,1.80636,1.62245,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823
