epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4091.05,1.54699,1.09376,1.33128,0.56649,0.41542,0.40846,0.18028,1.95506,1.79462,1.59645,0.000930618,0.000930618,0.000930618
43,4178.93,1.51313,1.05844,1.30874,0.5202,0.41122,0.38644,0.17514,1.97091,1.80754,1.60869,0.000926218,0.000926218,0.000926218
44,4263.06,1.5085,1.05232,1.30557,0.53172,0.37336,0.36409,0.15982,1.97917,1.89545,1.61333,0.000921819,0.000921819,0.000921819
45,4350.83,1.51645,1.04235,1.30077,0.58188,0.41557,0.42126,0.18749,1.97575,1.78305,1.61424,0.000917419,0.000917419,0.000917419
46,4436.51,1.49981,1.01232,1.28532,0.56603,0.41463,0.39392,0.16892,2.00032,1.81805,1.63186,0.00091302,0.00091302,0.00091302
47,4531.79,1.49926,1.02055,1.29437,0.57045,0.4248,0.40293,0.17355,1.98692,1.78549,1.61167,0.00090862,0.00090862,0.00090862
48,4617.83,1.50026,1.01573,1.29668,0.57244,0.39176,0.39753,0.18144,1.97435,1.85472,1.6133,0.000904221,0.000904221,0.000904221
49,4718,1.4848,0.99724,1.27541,0.55341,0.40951,0.40419,0.17774,1.98795,1.80506,1.62478,0.000899821,0.000899821,0.000899821
50,4809.96,1.47997,0.9849,1.28043,0.55881,0.4242,0.40859,0.1823,1.99721,1.8547,1.64047,0.000895422,0.000895422,0.000895422
51,4905.96,1.45869,0.9937,1.29718,0.57712,0.42013,0.42176,0.18437,1.96793,1.74188,1.60701,0.000891022,0.000891022,0.000891022
52,5042.22,1.44773,0.95846,1.26748,0.57222,0.40716,0.40422,0.17919,1.95996,1.77214,1.61392,0.000886622,0.000886622,0.000886622
53,5129.17,1.45309,0.96967,1.28088,0.54155,0.41962,0.40159,0.17631,1.96489,1.84203,1.61371,0.000882223,0.000882223,0.000882223
54,5215.37,1.45658,0.9458,1.2658,0.57528,0.40065,0.40675,0.18118,1.97268,1.85133,1.62524,0.000877823,0.000877823,0.000877823
55,5303.08,1.44379,0.95992,1.2673,0.55061,0.40432,0.40008,0.18105,1.96973,1.79692,1.62104,0.000873424,0.000873424,0.000873424
56,5387.79,1.44052,0.95504,1.25891,0.56755,0.41463,0.40585,0.17852,1.99677,1.90725,1.63792,0.000869024,0.000869024,0.000869024
57,5476.36,1.42966,0.92796,1.25504,0.56001,0.40326,0.38606,0.16937,1.99434,1.82142,1.64275,0.000864625,0.000864625,0.000864625
58,5564.24,1.42179,0.90015,1.23641,0.57983,0.42094,0.40353,0.18169,1.99757,1.82809,1.63799,0.000860225,0.000860225,0.000860225
59,5652.27,1.40244,0.90343,1.24132,0.56498,0.42815,0.41067,0.18154,1.98229,1.7666,1.62159,0.000855826,0.000855826,0.000855826
60,5738.68,1.43165,0.91857,1.24595,0.57545,0.44123,0.41914,0.18795,1.96579,1.76358,1.6048,0.000851426,0.000851426,0.000851426
61,5827.31,1.3952,0.88644,1.22786,0.55963,0.43394,0.42346,0.19084,1.99938,1.8184,1.65231,0.000847026,0.000847026,0.000847026
62,5918.01,1.40409,0.89422,1.23586,0.56716,0.44578,0.41995,0.18853,2.01761,1.8062,1.64122,0.000842627,0.000842627,0.000842627
63,6006.01,1.39365,0.88849,1.23614,0.54174,0.43455,0.40929,0.1853,1.98716,1.80419,1.63519,0.000838227,0.000838227,0.000838227
64,6090.36,1.39947,0.88793,1.23423,0.59442,0.40604,0.41439,0.19063,1.97609,1.77734,1.62445,0.000833828,0.000833828,0.000833828
65,6177.04,1.38792,0.87993,1.22922,0.56413,0.44236,0.43345,0.19823,1.98393,1.76538,1.62003,0.000829428,0.000829428,0.000829428
66,6264.04,1.36865,0.87474,1.23106,0.5775,0.43863,0.42817,0.19422,1.98617,1.75148,1.63275,0.000825029,0.000825029,0.000825029
67,6351.53,1.40105,0.86754,1.22333,0.53561,0.44146,0.40935,0.18425,1.97539,1.86528,1.62361,0.000820629,0.000820629,0.000820629
68,6436.88,1.36174,0.83902,1.2104,0.5671,0.44312,0.42462,0.19202,2.00845,1.81527,1.65918,0.000816229,0.000816229,0.000816229
69,6524.92,1.36592,0.83791,1.21691,0.57828,0.42258,0.40927,0.18455,1.99318,1.82194,1.64316,0.00081183,0.00081183,0.00081183
70,6609.9,1.36335,0.85244,1.21756,0.56699,0.43335,0.41222,0.18343,2.00115,1.78693,1.67724,0.00080743,0.00080743,0.00080743
71,6739.17,1.35801,0.83552,1.20013,0.5906,0.43551,0.41924,0.18941,1.98428,1.76201,1.62165,0.000803031,0.000803031,0.000803031
72,6826.98,1.35675,0.83219,1.2057,0.56717,0.44871,0.42632,0.19187,1.98727,1.80588,1.64031,0.000798631,0.000798631,0.000798631
73,6911.37,1.33763,0.82148,1.1971,0.59476,0.4346,0.42062,0.19087,1.99583,1.81366,1.6496,0.000794232,0.000794232,0.000794232
74,6998.12,1.31563,0.81582,1.19511,0.59531,0.42214,0.41822,0.1869,2.00524,1.81059,1.64594,0.000789832,0.000789832,0.000789832
75,7116.32,1.34223,0.82984,1.19252,0.59233,0.43278,0.42387,0.18854,2.01401,1.82598,1.6703,0.000785433,0.000785433,0.000785433
76,7203.53,1.3323,0.80582,1.19214,0.56562,0.43757,0.41491,0.18615,2.01553,1.85086,1.65795,0.000781033,0.000781033,0.000781033
77,7370.03,1.32761,0.81013,1.18948,0.60132,0.43527,0.43629,0.20036,1.99626,1.76641,1.65276,0.000776633,0.000776633,0.000776633
78,7460.67,1.32467,0.79461,1.17578,0.5774,0.4407,0.42977,0.19482,1.9994,1.83606,1.63366,0.000772234,0.000772234,0.000772234
79,7548.25,1.29964,0.7917,1.18738,0.59103,0.44558,0.42567,0.19386,1.98389,1.83451,1.63025,0.000767834,0.000767834,0.000767834
80,7637,1.32173,0.79862,1.17716,0.60127,0.43966,0.41922,0.19179,1.99429,1.80375,1.65664,0.000763435,0.000763435,0.000763435
81,7738.52,1.30878,0.78562,1.17568,0.5742,0.44566,0.42988,0.19421,1.99684,1.80582,1.64117,0.000759035,0.000759035,0.000759035
82,7826.42,1.28748,0.77822,1.17727,0.5918,0.43318,0.43777,0.20144,1.99425,1.7951,1.66047,0.000754636,0.000754636,0.000754636
83,7913.03,1.30571,0.76877,1.17025,0.57399,0.44352,0.43513,0.19533,2.01174,1.79025,1.66812,0.000750236,0.000750236,0.000750236
84,8006.76,1.29463,0.7598,1.15985,0.59744,0.42463,0.42947,0.19498,2.0036,1.80047,1.6703,0.000745837,0.000745837,0.000745837
85,8259.74,1.28524,0.76085,1.16444,0.57845,0.44469,0.4264,0.19432,1.98886,1.81354,1.64655,0.000741437,0.000741437,0.000741437
86,8378.42,1.28901,0.76312,1.17243,0.57857,0.45478,0.42566,0.18985,2.01528,1.77964,1.6684,0.000737037,0.000737037,0.000737037
87,8462.63,1.27102,0.75046,1.16131,0.6256,0.43228,0.4413,0.20093,2.02149,1.79152,1.66737,0.000732638,0.000732638,0.000732638
88,8549.05,1.28468,0.76543,1.16542,0.59416,0.4373,0.42623,0.19043,2.01272,1.87294,1.65881,0.000728238,0.000728238,0.000728238
89,8632.86,1.27466,0.75511,1.16494,0.59865,0.43767,0.41711,0.18552,2.01921,1.79886,1.66964,0.000723839,0.000723839,0.000723839
90,8721.18,1.28503,0.75185,1.15665,0.60468,0.43503,0.4295,0.19444,2.0082,1.81279,1.66249,0.000719439,0.000719439,0.000719439
91,8805.53,1.27221,0.74346,1.15075,0.56772,0.44458,0.41749,0.18401,2.02156,1.81493,1.66922,0.00071504,0.00071504,0.00071504
92,8902.68,1.26198,0.73419,1.14797,0.63434,0.439,0.43789,0.19276,2.02082,1.83793,1.67737,0.00071064,0.00071064,0.00071064
93,8989.35,1.24657,0.72919,1.1438,0.59599,0.44417,0.42675,0.1913,2.01184,1.77116,1.66598,0.00070624,0.00070624,0.00070624
94,9084.19,1.23345,0.7283,1.14079,0.59241,0.45334,0.44621,0.20168,2.00852,1.82202,1.66259,0.000701841,0.000701841,0.000701841
95,9171.67,1.24629,0.73005,1.14318,0.57475,0.4415,0.42618,0.19585,2.00447,1.78664,1.66716,0.000697441,0.000697441,0.000697441
